Page ID,Page name,Disclaimer,Amount spent (MXN)
924215500923867,Lucy Meza,Lucy Meza,3344
101252239569220,Transformando Morelos,Transformando Morelos,2429
107007355293954,Publinoticias,Publinoticias,1962
104773258848361,Margarita González Saravia,Margarita González Saravia,1714
100366512516352,Víctor Mercado,Víctor Mercado,1416
110509207026148,De Chingadazo Morelos,De Chingadazo Morelos,869
101442102956651,Lucy Va,Lucy Va,859
101637276299755,Crónica Digital Morelos,Crónica Digital Morelos,835
100262824860292,Guayabo Vengador,Guayabo Vengador,792
119578977778969,Defendiendo la Democracia,Defendiendo la democracia,641
104900165108316,Los Alzados de Morelos,Los Alzados de Morelos,616
108895104624022,Sandra Anaya,Sandra Anaya,569
121038490988401,Amigos de Rabin - Jiutepec,Amigos de Rabin - Jiutepec,545
106791669087878,Amigos de Rabin - Cuernavaca,Approach,537
116175691755266,Silvano Aureoles Conejo,Silvano Aureoles Conejo,506
109538585077104,Red Ciudadana Transformando Morelos,Red Ciudadana Transformando Morelos,500
120347841057506,Morelos en la 4Transformación,Morelos con la 4Transformacion,430
106155929175245,Los Hechos de Morelos,Los Hechos de Morelos,429
104680124489636,Demoscopia Digital,Demoscopia Digital,426
101179015404551,Andrea Gordillo,Andrea Gordillo,385
108763745567667,Encuestas 2024 MX,Encuestas 2024 MX,341
107733571881670,The Street Journal,The Street Journal,300
112902358493022,Revista Excelencia Empresarial,Revista Excelencia Empresarial,293
102219139246608,MarceLovers,Mundo Millenial,292
1520610478183053,Badabun,Badabun,277
120965900993972,El Escaparate,El Escaparate,274
115198674908506,Ola de noticias,Ola de noticias,273
111290081772772,Frontera de México,Frontera de México,271
103813715878847,Mujeres Mexicanas,Mujeres Mexicanas,255
120475107640369,La Realidad de hoy,La Realidad de hoy,251
102281232785079,Noticias del Mundo,Noticias del Mundo,249
116013104730058,México en el Mundo.,México en el Mundo.,249
56713285274,Greenpeace México,Greenpeace México,249
156639921819,Gii360,Gii360,240
354326078079338,Campaigns and Elections Mexico,Campaigns & Elections México,230
101297736218883,Mujeres en la lucha,Mujeres en la lucha,226
386479385435094,Masiosare,Masiosare,215
100387933071949,Perspectiva informada,Perspectiva informada,211
283653271758441,24 Morelos,24 CDMX,205
120385634315272,Tiempo de Noticias,Tiempo de Noticias,203
120607030955709,Todo Noticias,Todo Noticias,197
102121839522309,Conoce Más,Conoce Más,196
119813324392503,Latitud Cero,Latitud Cero,195
102373588651567,Arturo Perez Flores,Arturo Perez Flores,179
362430908370,Aeromexico,Aeromexico,172
111550438604208,La Buena Nota,La Buena Nota,164
652909794741436,Tania Valentina Rodriguez,Tania Valentina Rodriguez,157
105564065877446,Diario del Informador,Diario del Informador,156
118621424595489,Comiendo con El Carnal - Ya sabes cual,Comiendo con el Carnal - Y Sabes cual,143
101702578768551,Agencia de Noticias Edomex,Approach,141
108291675564193,El Mundo Noticias,El Mundo Noticias,141
103852349111297,Infórmate y +,Infórmate y +,135
254852601222832,Cemex México,CEMEX México,135
107213894717040,Volumen.com.mx,Volumen Entretenimiento S. A. de C. V.,126
120115757746350,La Primicia,La Primicia,125
117997461292724,Eco Noticias,Eco Noticias,123
923633637651202,Morena Sí,Morena Sí,116
101671039450825,Noticias Sureste,Noticias Sureste,115
105931509174883,Nuevo día,Nuevo día,114
164602116035,Cuautla Hoy,Cuautla Hoy,113
182252948625872,Los Rescatadores,"Refleacciona con Responsabilidad, A.C.",104
113761095054105,Enfoque Noticias,Enfoque Noticias,≤100
110171835367463,Portada Informativa,Portada Informativa,≤100
109634395756375,Save the Children México,Save the Children México,≤100
112877297846533,El Pulso.com.mx,"El Pulso de la Información, S.A. de C.V.",≤100
105386845919290,La Palabra Ciudadana,La Palabra Ciudadana,≤100
105732719194836,La Información Siempre,La Información Siempre,≤100
113036728460501,Portal Informativo,Portal Informativo,≤100
118561554569165,Expreso Noticias,Expreso Noticias,≤100
101824639600985,Noticias Cuatro T Sur,Noticias Cuatro T,≤100
109961782099624,Nueva Visión,Nueva Visión,≤100
108819392526809,Partido Acción Nacional,Partido Acción Nacional,≤100
215155355246903,Francisco Cabeza De Vaca,Francisco Cabeza De Vaca,≤100
116426004784837,Vanguardia Noticia,Vanguardia Noticia,≤100
103444839797044,UTSEM Universidad Tecnológica del Sur del Estado de Morelos,These ads ran without a disclaimer,≤100
1415863341806268,DMC - Music Center,CENTRO DE ENCUENTRO ARTÍSTICO DMC A.C.,≤100
112708078424642,En La Loteria,La vida es una lotería SA de CV,≤100
112712611430057,The Trevor Project México,These ads ran without a disclaimer,≤100
102551913153712,Ricardo Monreal A.,Ricardo Monreal A.,≤100
1002570673096480,Jurídico Valle De México,Jurídico Valle De México,≤100
101639172897577,Por Ella por Todas,Por Ella por Todas,≤100
884141164989007,Costco México,These ads ran without a disclaimer,≤100
121748530893763,El informativo de la transformación,El informativo de la Transformación,≤100
300882842026,Doritos,These ads ran without a disclaimer,≤100
102107279495045,Las netas,LASNETAS.ORG,≤100
112519125179398,Amigos de Rabin - Axochiapan,Amigos de Rabin - Axochiapan,≤100
119644344466209,Amigos de Rabin - Mazatepec,Amigos de Rabin - Mazatepec,≤100
116422098112118,El Trópico,El Trópico,≤100
107246365703676,Hechos del Presente,Hechos del Presente,≤100
106689315603748,Somos Centro,Somos Centro,≤100
108538235585113,Amigos de Rabin - Coatetelco,Amigos de Rabin - Coatetelco,≤100
