Page ID,Page name,Disclaimer,Amount spent (EUR)
72249031214,Partido Popular,Partido Popular,656
26830001203,EAJ-PNV,EAJ-PNV,627
110744281664042,Sumar,Sumar,266
436925766384635,Fundació Cipriano García CCOO,Fundació Cipriano García CCOO,222
190526467655484,Osakidetza,Osakidetza,172
183202371808498,EH Bildu,EH Bildu,107
129288810450590,Donostia - San Sebastián,Donostiako Udala - Ayuntamiento de San Sebastián,≤100
132591756789822,Eroski,Eroski,≤100
189318235003,PSOE,PSOE,≤100
57845333112,Save the Children España,Save the Children España,≤100
1343854499090700,Bea Fanjul,PARTIDO POPULAR DEL PAÍS VASCO,≤100
78151799929,Amnistía Internacional España,Amnistía Internacional España,≤100
416723460540,Irekia - EJGV,Irekia - Gobierno Vasco,≤100
133044800622,Greenpeace España,Greenpeace España,≤100
269212336568846,Podemos,PODEMOS,≤100
467925280299505,Médicos Sin Fronteras España,Médicos Sin Fronteras España,≤100
20108693880,Oxfam Intermón,Oxfam Intermón,≤100
57973661707,WWF España,WWF España,≤100
921012574629250,Socialistas Guipuzcoanos,Socialistas Guipuzcoanos,≤100
109804605891436,Socialistas Vizcaínos,Socialistas Vizcaínos,≤100
187629584594801,AnimaNaturalis España,AnimaNaturalis Internacional,≤100
112538350301638,Ministerio de Igualdad,Ministerio de Igualdad,≤100
147468905314265,Partido Por un Mundo más Justo · M+J,Partido Por un Mundo más Justo · M+J,≤100
300102416847349,Wetaca,Wetaca,≤100
213086312044776,Aldeas Infantiles SOS de España,Aldeas Infantiles SOS de España,≤100
815597255122198,Osoigo,Osoigo,≤100
306840072990831,Socios Cruz Roja,Socios Cruz Roja,≤100
245741112112300,Ayuda En Acción,Ayuda En Acción,≤100
273617426014444,Tetra Pak España,Findasense,≤100
178362315106,European Parliament,European Parliament,≤100
133720063355040,txalaparta,txalaparta,≤100
276999106249,Asociación Española Contra el Cáncer,Asociación Española Contra el Cáncer,≤100
117887575012127,Leche Pascual,Leche Pascual,≤100
533345436722780,Perales Digital,These ads ran without a disclaimer,≤100
113760931412,Acción contra el Hambre España,Acción contra el Hambre España,≤100
463627663844039,En Comú Podem,En Comú Podem,≤100
106707916656,UPN - Unión del Pueblo Navarro,UPN,≤100
821902454827883,Wave Of Change,Wave of Change,≤100
205610086124991,Emakunde,Emakunde-Instituto Vasco de la Mujer,≤100
100160149099313,Justice Initiative,Justice Initiative,≤100
47896270298,Iberostar,Iberostar Hotels & Resorts,≤100
102311569588220,Demos Lab,Demos Lab,≤100
121058217922496,CaixaForum,CaixaForum,≤100
106069125824339,Antonio Platform,These ads ran without a disclaimer,≤100
175357075823543,CRIS contra el Cancer,CRIS contra el Cancer,≤100
120104454689359,MAPFRE,MAPFRE,≤100
11473659787,Educo,Educo,≤100
139153867956,Fundació Pasqual Maragall,Fundación Pasqual Maragall,≤100
101812872336696,Alivia,Fundación Alivia España,≤100
1566161093633067,Santander Empresas,Santander España,≤100
178932215807163,Endesa Clientes,Findasense,≤100
205020556374341,Bezoya,Bezoya,≤100
70020937349,SEO/BirdLife,SEO/BirdLife,≤100
158287010886289,Hay Derecho,Hay Derecho,≤100
105664031745,UNRWA.es,UNRWA España,≤100
471951929539262,Energia_Vital,Energia_Vital,≤100
110450198747205,Urna y toalla,Komons Collective SLL,≤100
114780085002861,Vota Si Quieres,Vota Si Quieres,≤100
111892984250,Fundación World Vision España,Fundación World Vision International,≤100
228545230545402,Manos Unidas,Manos Unidas,≤100
131231529742,Fundación Anesvad,Fundación Anesvad,≤100
152984254897718,The Objective,The Objective Media SL,≤100
155704194479487,Salud por Derecho,Fundación Salud por Derecho,≤100
125601904139182,Yorokobu,Yorokobu,≤100
116987781644980,Shangay,Editorial IMANÍ,≤100
169915749735403,CEAR,CEAR,≤100
176592142419661,Holaluz,HolaLuz.com,≤100
341793479830142,Padrinos por la Discapacidad,FUNDACIÓN JUAN BONAL,≤100
100153748842445,Junior Report,Blue Globe Media S.L.,≤100
741696855903082,Opositatest,Opositatest,≤100
105587705334940,Padrinos,FUNDACIÓN JUAN BONAL,≤100
310475379072138,Unidos x Laredo,Unidos x Laredo,≤100
216290708406257,Alianza por la Solidaridad,Alianza por la Solidaridad,≤100
267353906619818,Mr. Gugu & Miss Go,These ads ran without a disclaimer,≤100
302436570114382,Amigos de los Mayores,Amigos de los Mayores,≤100
101528483014570,Срочные Новости,These ads ran without a disclaimer,≤100
1758998197671486,Frente Obrero España,Comité pro-Frente Obrero España,≤100
95878687102,Fundación Vicente Ferrer,Fundación Vicente Ferrer,≤100
764841146997173,En EPOC el Cero Cuenta,Edelman Spain,≤100
100949746307943,Cima Universidad de Navarra,Cima Universidad de Navarra,≤100
400445143359153,Fundació Silvestre,Fundació Silvestre,≤100
191375027559681,NIVEA,"NIVEA España (Beiersdorf, S.A.)",≤100
179666655404875,Comisión Europea en España,Comisión Europea en España,≤100
174696652583261,Fundación Aladina,Fundación Aladina,≤100
116136108464509,CaixaBank,CaixaBank,≤100
114246916794630,En Asma el Cero Cuenta,Edelman Spain,≤100
553983948100016,Músicos por la Salud,Fundación Social District (Músicos por la Salud),≤100
57973661707,WWF España,WWF España,≤100
101132249298796,HubSocial_fundlacaixa,HubSocial_fundlacaixa,≤100
111338062259889,Fundación Secretariado Gitano,Fundación Secretariado Gitano,≤100
103667832795885,idenflag,These ads ran without a disclaimer,≤100
103693011035550,Santander Global,Banco Santander,≤100
1811935085732429,Fiet Gratia,ONG DE DESARROLLO FIET GRATIA,≤100
103440262813668,Osoigo Next,Osoigo,≤100
105600969115754,Instru Musiq,These ads ran without a disclaimer,≤100
104690619568713,"Yo reciclo vidrio, ¿y tú?",Ecovidrio,≤100
270587517074225,MySolarEnergy,MySolarEnergy,≤100
115481008480109,LG Global,Good Rebels,≤100
1793510380925494,USR Diaspora,Partidul Uniunea Salvați România,≤100
1422699408042390,FP Claudio Galeno,These ads ran without a disclaimer,≤100
1035516339843936,Relevo Contigo,Relevo Contigo,≤100
238600172991554,Fashion Revolution España,Fashion Revolution España,≤100
256196396278,UNICEF España,UNICEF España,≤100
685140315247660,Veredas de Encuentro,FUNDACIÓN JUAN BONAL,≤100
178168275528158,Secretaría General Iberoamericana (SEGIB),Secretaría General Iberoamericana (SEGIB),≤100
796716270345901,Ecoforest,Ecoforest,≤100
106041595562390,Money Management,These ads ran without a disclaimer,≤100
48426568814,Federación Socialista Asturiana FSA-PSOE,Federación Socialista Asturiana FSA-PSOE,≤100
364955387328772,Equalia,Equalia,≤100
103865925500210,Dakart,dakart,≤100
216211528733118,TAPP Water,These ads ran without a disclaimer,≤100
104626078500694,Theramex Spain,Theramex Healthcare Spain SLU,≤100
340569499642887,In Género,In Género,≤100
244777995534742,Ayuda a la Iglesia Necesitada - ACN España,Ayuda a la Iglesia Necesitada,≤100
213195432085504,Dirección General de Tráfico - España,Dirección General de Tráfico - España,≤100
131917366935150,Zurich,Zurich,≤100
144709575593854,EESC - European Economic and Social Committee,EESC - European Economic and Social Committee,≤100
102466472520470,Tu Agrupación Socialista de Segorbe,Tu Agrupación Socialista de Segorbe,≤100
366619768708,Plan International España,Plan International España,≤100
159665490863316,Cepsa,"COMPAÑÍA ESPAÑOLA DE PETRÓLEOS, S.A. (CEPSA)",≤100
1315729641865833,Fundación Columbus,Fundación Columbus,≤100
22893372268,BMW,These ads ran without a disclaimer,≤100
103641162364804,Ener2Crowd España,Ener2Crowd España,≤100
522165734963300,USR Spania și Portugalia,Partidul Uniunea Salvați România,≤100
392689997465240,PSOE Segovia,PSOE SEGOVIA,≤100
603472633067552,IU-Aljaraque,IU-Aljaraque,≤100
198198820328526,Psoe La Rioja,PSOE La Rioja,≤100
76946314725,ATTAC España,ATTAC,≤100
1597205110535229,Culligan Premium WATER,These ads ran without a disclaimer,≤100
1732871583597515,Rodrigo,These ads ran without a disclaimer,≤100
102311569588220,Demos Lab,These ads ran without a disclaimer,≤100
112890951401343,Alminuto,Alminutonoticias,≤100
247961738694147,Funky Marketing,These ads ran without a disclaimer,≤100
101820216165912,ATM Grupo Maggioli,These ads ran without a disclaimer,≤100
107410381720374,Marea Deliberativa,Marea Deliberativa,≤100
230443473984636,Fundación para el Avance de la Libertad,Fundación para el Avance de la Libertad,≤100
139153867956,Fundació Pasqual Maragall,Fundació Pasqual Maragall,≤100
119814118041196,Falange Auténtica,Falange Auténtica,≤100
111993077931929,Adelante Andalucía,Adelante Andalucía,≤100
821698937843689,Josu Bergara López,These ads ran without a disclaimer,≤100
468082066665498,María Dolores Corujo Berriel,María Dolores Corujo,≤100
150234575797,Esquerra Republicana de Catalunya,Esquerra Republicana de Catalunya,≤100
1193235357456779,News of the week,These ads ran without a disclaimer,≤100
108625789179165,Soi Dog Foundation,These ads ran without a disclaimer,≤100
109279748602299,Financial Consulting,These ads ran without a disclaimer,≤100
103899499064784,Rut Santana Montesdeoca Abogada,These ads ran without a disclaimer,≤100
109672108830357,Politikkio,These ads ran without a disclaimer,≤100
116603861327799,alex_sa.c,These ads ran without a disclaimer,≤100
1399750283620746,Hidden City,These ads ran without a disclaimer,≤100
111537828564725,Top One,These ads ran without a disclaimer,≤100
102795885694138,milokibullz,These ads ran without a disclaimer,≤100
