Page ID,Page name,Disclaimer,Amount spent (COP)
100132752831088,Natalia López Fuentes,Natalia López Fuentes,98223
598646723981319,Lucia Tous,Lucia Tous,73528
104624142451363,Hugo Kerguelén,Hugo Kerguelén,72762
130834367164,Red PaPaz,Red PaPaz,63550
159514754069267,Partido Cambio Radical,Partido Cambio Radical,33281
156298264460389,Davo Pastrana,Davo Pastrana,24164
482002058626250,Surany Arboleda Arias,Surany Arboleda Arias,23864
115888458169876,Vamos con Jairo Balmaceda,Vamos con Jairo Balmaceda,22281
1477372742560381,José Hugo Restán Sánchez,Fundación Política,19345
107005088584019,Jaime Carrascal - el Nota,Jaime Carrascal - el Nota,19300
101875106251616,Partido Verde Oxígeno,Partido Verde Oxigeno,16945
100650573021198,David Navas Regino,David Navas Regino,16698
1147318942107929,Todos Somos Una,DEBRAIN LLC,15465
101391859627743,Colombia sin miedo,Colombia sin miedo,11169
113813341633983,Francisco Montes Vergara - Una Causa Justa por Sucre,Francisco Montes Vergara - Una Causa Justa por Sucre,10715
172972820196280,Que vuelva Jacobo,Que vuelva Jacobo,7223
108320520688975,Alcaldía Municipal de Sahagún,Alcaldía Municipal de Sahagún,6869
969143216462972,Felipe Cañizalez,Felipe Cañizalez,6282
1598264127092439,Jacobo Quessep,Jacobo Quessep,5368
167222580002790,Clara Luz Roldan Gonzalez,Clara Luz Roldán,3522
1586192348316443,Maicol Lopera Cardona,Maicol Lopera,3058
107630602393621,Hora de Justicia,Horadejusticia,2921
1913101528996718,Congreso Nacional de Marketing Político,Congreso Nacional de Marketing Político,2867
286568181368830,Jhon Ortega,Jhon Ortega,2830
1431824383809561,Camilo Torres,Camilo Torres,2801
1668929590004327,Avanzoft Software Avanzado,Avanzoft Software Avanzado,2607
118514924593739,Tanque Seco,Tanque seco,2281
141361183156268,Juan Carlos Upegui,Juan Carlos Upegui,2151
597006313643580,Gobernación del Valle del Cauca,Gobernación Valle del Cauca,2064
2449859871917842,Jeison Janna - Concejo,These ads ran without a disclaimer,1967
102143071616787,Goberna Colombia,Goberna,1962
1400280116941194,Fabian Diaz,Fabian Diaz,1664
102649172879833,Colombia al Día,Colombia al Día,1373
101642839569704,Javier Marulanda,Dr Javier Marulanda,1268
120137021029235,Prolicores,These ads ran without a disclaimer,1024
428543964376713,Dieguito Agudelo,Dieguito Agudelo,1003
105848177845789,All Out en español,All Out Action Fund,896
1766366823576506,La Paz Querida,La Paz Querida,812
112155252163421,Sebastián López V.,Sebastián López V.,765
170633243101916,Alexander Serrato,Alexander Serrato,712
1037508046302965,Griselda Janeth Restrepo Gallego,Griselda Janeth Restrepo Gallego,695
407615769604377,Mutante,Fundación Mutante,674
114778278552099,Octavio Cardona León,Octavio Cardona León,659
838927469815494,Diana Diago,Diana Diago,655
1983094071788444,Brum Digital,Brum Digital,581
416201871913815,Adolfo Romero,Adolfo Romero,573
107405449071319,Con la suya,Con la suya,552
1033549700092706,Buga City Radio,Buga City Radio,522
85147586731,Julio César Triana,Julio César Triana,517
