Page ID,Page name,Disclaimer,Amount spent (PYG)
100157179072061,Financiera ueno SAECA,These ads ran without a disclaimer,3270
140961809282989,Ministerio de la Niñez y la Adolescencia,These ads ran without a disclaimer,2048
176941749043831,YAMIL ESGAIB,YAMIL ESGAIB,2044
278226125974096,El Paraguayo Independiente,Paraguayo Independiente,2000
110665567053224,DimartinoIntendente,Jorge Dimartino,1251
272098156231873,Diario HOY Paraguay,Diario HOY Paraguay,436
2271652869544024,"Ygnacio  ""Nacho"" Sánchez.","Ygnacio  ""Nacho"" Sánchez.",287
294017310722101,Senador Dupont,These ads ran without a disclaimer,170
599371683431175,Cooperativa Cumbre de la Cordillera,Cooperativa Cumbre de la Cordillera,132
106209304879567,karenstenger,These ads ran without a disclaimer,≤100
108779854000922,Enrique Quintana,Enrique Quintana,≤100
2054486121439156,Next PTF,These ads ran without a disclaimer,≤100
105409475569811,AO Recon Latin America,These ads ran without a disclaimer,≤100
110401885364008,NJ & Asociados - Asesoría y Consultoría,These ads ran without a disclaimer,≤100
