Page ID,Page name,Disclaimer,Amount spent (IDR)
320858334728047,Partai Solidaritas Indonesia,Partai Solidaritas Indonesia,6927285
23383061178,Prabowo Subianto,indonesia Adil makmur,224189
101350709331663,Golkar 2024,Yayasan Golkar Institut SPKP,99469
101838571565856,Warung Bu Ida Buyut,These ads ran without a disclaimer,71594
112570091503539,GP Papua,Ganjar Nusantara Indonesia,58495
104054595928021,Bakti Untuk Rakyat,Bakti Untuk Rakyat,47253
790156511331117,Tempo CekFakta,TEMPO MEDIA GROUP,24965
333711983956998,Erwin Aksa,Yayasan Golkar Institute SPKP,24210
572779142753263,Freeport Indonesia,Freeport Indonesia,19158
111864151754055,Esensi TV,Esensi Tv,14695
256838011014355,Partai Gerakan Indonesia Raya (Gerindra),Partai Gerindra,11962
193237974052689,Partai Keadilan Sejahtera,Partai Keadilan Sejahtera,10682
197545083607941,Harian Kompas,Harian Kompas,9364
349963858704476,Komit Digital,Komit Digital,7428
101866128977837,Belajar Pemilu,Belajar Pemilu,4798
101679818973699,Sahabat Ganjar Pranowo,Sahabat Ganjar Pranowo,4348
110799152010497,Prabowo Lanjutkan Kepemimpinan,Prabowo Lanjutkan Kepemimpinan,4092
107600565668590,Munafri Arifuddin,Yayasan Golkar Institute,3635
106919112303644,Jasa Pembuatan Video,Jasa Pembuatan Video,3590
106918395489616,Golkar Institute SPKP,Yayasan Golkar Institut SPKP,3523
1466049036757852,Agus Yudhoyono,DPP Partai Demokrat,2924
101061776109725,Jefri Haris Pratama,Jefri Haris Pratama,2858
39253583478,PDI Perjuangan,PDI Perjuangan,2365
114012201650176,Fakta Terselubung,Fakta Terselubung,1897
101203454841155,Kota Kite,Kota Kite,1662
1547369918837496,Zulkifli Hasan,DPP PAN,1568
116715223517954,YouSee Indonesia,YouSee Indonesia,1514
103330282779367,Dua Digits Creative,Dua Digits Creative,1384
104830667806476,Melihat Indonesia,Melihat Indonesia,1361
104161768809633,Dompet Yatim Dan Dhuafa,Dompet Yatim Dan Dhuafa,1360
104899195891472,Berita Ganjar Pranowo,Berita Ganjar Pranowo,1343
110750361762052,Pikiran Rakyat,Pikiran Rakyat,1320
101760624522103,DPP Banteng Muda Indonesia,DPP Banteng Muda Indonesia,1003
100159712647702,Fakta Anies Baswedan,Fakta Anies Baswedan,942
110865154735990,Koran Harian Tanah Air,Koran Harian Tanah Air,938
756567881057213,Airlangga Hartarto,Airlangga Hartarto,811
108156498584853,Tetap Puan,Marabunta Family Cyber,769
110666655158744,Sahabat Caleg,Sahabat Caleg,737
112031464483846,Speaking Partner Kampung Inggris,These ads ran without a disclaimer,724
103147072786445,"Sahabat Dasril Affandi, SH,. MH","Sahabat Dasril Affandi, SH,. MH",694
112121101796090,Opini 2024,Opini 2024,640
103581752405141,Sobar Harahap,Sobar Harahap,638
109455838815878,Moveprenuere,Moveprenuere,624
775511209269445,Pusat Studi Pendidikan dan Kebijakan - PSPK,These ads ran without a disclaimer,617
107674052345943,Racik Digital,Racik Digital,615
108750315601482,my.saraka,These ads ran without a disclaimer,615
101403669397488,Nikmatul Sugiyarto,Nikmatul Sugiyarto,565
102273039070802,Info Terkini,Info Terkini,558
102656349157647,Tugimanisme,Tugimanisme,492
103518128052775,AMNM,These ads ran without a disclaimer,469
107241861191421,Ilmu Tambang,Ilmu Tambang,447
