Page ID,Page name,Disclaimer,Amount spent (EUR)
149032011830930,Centar.mk,Centar.mk,≤100
324459714339171,Civil MK,Civil MK,≤100
1482737048633478,Институт за комуникациски студии ИКС / Institute of Communication Studies,Институт за комуникациски студии,≤100
192483774872658,Демократи,Демократи,≤100
101754962766151,Рацин.мк,Рацин.мк,≤100
1677572455714659,Јорго Огненовски,Демократи,≤100
109452208789335,Трн.мк,Трн.мк,≤100
100954761298205,frontline.mk,frontline.mk,≤100
101519168409673,Dimitar Kovacevski,СДСМ,≤100
400497373674524,СамоПрашај.мк,Institut za komunikaciski studii,≤100
461034264336817,24инфо.мк,24инфо.мк,≤100
971176269757392,Дома,Институт за комуникациски студии ИКС / Institute of Communication Studies,≤100
100746718435265,Fatmir Bytyqi,Fatmir Bytyqi,≤100
152995591517845,Novatv Web,Novatv Web,≤100
103429991165103,Левица - Охрид,Левица / E majta / Levica,≤100
255990845327431,Левица,Левица / E majta / Levica,≤100
1723716297849902,Ljupcho Nikolovski,Ljupcho Nikolovski,≤100
114716014845582,Портал,Портал,≤100
159067658059615,Association for Educational Development - Ekvalis / Еквалис,Association for Educational Development - Ekvalis / Еквалис,≤100
445469652211682,Bujar Osmani,Bujar Osmani,≤100
164829683652900,Faktor.mk,Faktor.mk,≤100
191683947531941,medium.edu.mk,Институт за комуникациски студии,≤100
1980705965582959,Afrim Gashi,Alternativa,≤100
66035312931,Zoran Zaev,Zoran Zaev,≤100
109355605764049,Radio Mreza Kanal 77,Радио Канал 77,≤100
335085593528267,Sloboden Pecat,Sloboden Pecat,≤100
100691030115327,ELI,These ads ran without a disclaimer,≤100
108148974280017,Halil Snopçe,Aleanca për Shqiptarët,≤100
1503795079941246,Klubi i Debatit Politik - KDP.MK,Klubi i Debatit Politik - KDP,≤100
615040838898606,Angry Birds Dream Blast,These ads ran without a disclaimer,≤100
