Page ID,Page name,Disclaimer,Amount spent (MXN)
107733571881670,The Street Journal,The Street Journal,5994
104502545545325,El Sol de América,El Sol de America,5614
118921468203786,Movimiento Ciudadano,Movimiento Ciudadano,3076
215155355246903,Francisco Cabeza De Vaca,Francisco Cabeza De Vaca,2122
105236155895899,Factor 4T,Factor 4T,1914
108801305563598,Noticias 4T,Noticias Cuatro T,1668
848008481893903,Cruz Pérez Cuéllar,Cruz Pérez Cuéllar,1132
101419536268596,Última Hora Noticias,Maximizando Ideas,1038
110450098729831,Noticias Cuatro T Norte,Noticias Cuatro T,973
107003701683545,Migra Noticias,Migra Noticias,764
258241614593678,AulaTec,AulaTec,714
1520610478183053,Badabun,Badabun,651
815584061873097,Jesús Valenciano,Jesús Valenciano,647
115473561466606,Transformando con valor,Transformando con Valor,646
120475107640369,La Realidad de hoy,La Realidad de hoy,619
56713285274,Greenpeace México,Greenpeace México,597
102281232785079,Noticias del Mundo,Noticias del Mundo,568
103813715878847,Mujeres Mexicanas,Mujeres Mexicanas,563
116013104730058,México en el Mundo.,México en el Mundo.,557
923633637651202,Morena Sí,Morena Sí,506
645731535452116,FactoMétrica,FactoMétrica,480
362430908370,Aeromexico,Aeromexico,463
111114048179544,Archivo Digital,Archivo Digital,454
116546948099512,Times Mujer Mx,Times Mujer Mx,449
335598899895433,Luis Aguilar,Luis Aguilar,394
298140896258,IEE Chihuahua,IEE Chihuahua,389
100867376619769,Xóchitl Gálvez Ruiz,Xóchitl Gálvez Ruiz,384
103868416083966,Cómo Vamos,Como Vamos,370
616061725124082,Mario Vázquez,Mario Vázquez,344
123856230700096,Toyota Motor México,TOYOTA MOTOR DE MEXICO,337
1406178929453999,Presidencia Delicias,GOBIERNO MUNICIPAL DE DELICIAS,305
104422492556187,Andrea Flores,Andrea Flores,294
469246976533189,Santiago Creel,Santiago Creel,260
1736317103323791,José Ríos Dgz,José Ríos Dgz,237
189131335143204,"Soy Mexicano, Soy Derecho",Soy Mexicano Soy Derecho,199
254852601222832,Cemex México,CEMEX México,194
349281388432947,Chihuahua Noticias,Chihuahua Noticias,193
102551913153712,Ricardo Monreal A.,Ricardo Monreal A.,172
1511190289099488,Centro de Derechos Humanos de las Mujeres,Centro de Derechos Humanos de la Mujer,161
100215376197287,Guerreros del voto,Guerreros del Voto,160
117396598040488,Morena al día,Morena al día,153
101069159489872,Partido Verde Ciudad Juárez,Partido Verde Ciudad Juárez,146
354326078079338,Campaigns and Elections Mexico,Campaigns & Elections México,131
102107279495045,Las netas,LASNETAS.ORG,130
100979508318448,Diputado Francisco Sánchez Villegas,Diputado Francisco Sánchez Villegas,127
314305366155617,Abstracto Noticias Frases.,Abstracto Noticias Frases.,122
108819392526809,Partido Acción Nacional,Partido Acción Nacional,115
105735142357697,Panistas por México,Panistas por México,111
101904945931759,CDMX Informada,CDMX Informada,111
289568107808375,UVEG Universidad Virtual del Estado de Guanajuato,Ads Project Media,111
103747299357893,Mario Delgado Fans,Grupo Delgado Fans,108
264773293005,Marko Cortés,Marko Cortés,106
101267031439463,Voz de las Empresas,Consejo de la Comunicación,106
133478060111915,Cemex Impacto Social,CEMEX México,105
117676694619099,Sala Capitalina,Sala Capitalina Media,103
116175691755266,Silvano Aureoles Conejo,Silvano Aureoles Conejo,103
101639172897577,Por Ella por Todas,Por Ella por Todas,≤100
107887432164975,Omar García Chávez,Omar García Chávez,≤100
100719492615697,Centro de Conciliación Laboral del Estado de Chihuahua,Partners of the Americas,≤100
104546498723247,Mauricio Cantú,Mauricio Cantú,≤100
493453457351145,Coparmex Nacional,Coparmex Nacional,≤100
48966795116,Amnistía Internacional México,Amnistía Internacional México,≤100
176828986158062,Laura Contreras,Laura Contreras,≤100
2238010603111378,UltraMedios MX,UltraMedios MX,≤100
1044005875633479,Manuel Guerra Cavazos,Manuel Guerra Cavazos,≤100
117455491307964,Al Día,Al Dia Media,≤100
108691922194941,Convocatorias 2023B,Convocatorias 2023,≤100
264279304177372,Lactarte por Amor,Lactarte por Amor,≤100
112806673771498,Andrea Chávez,Andrea Chávez,≤100
139767742461,Manuel Velasco Coello,Manuel Velasco Coello,≤100
