Page ID,Page name,Disclaimer,Amount spent (VND)
105473397490741,Phạm Thị Nga,These ads ran without a disclaimer,79277
101291915685026,Thầy Thuốc Nhân Dân Phạm Văn Thanh,These ads ran without a disclaimer,23577
120568721035023,Jackson Justin,These ads ran without a disclaimer,23577
110858335318321,Khu nhà ở xã hội 384 Lê Thánh Tông - MoonBay Residence,These ads ran without a disclaimer,18665
111267731617802,Lương Y Phạm Văn Thanh - Người Thầy Y Đức,These ads ran without a disclaimer,17121
116067974827401,Dr Xương Khớp - Gút - Đau mỏi,These ads ran without a disclaimer,12870
103504685839697,SÁCH TỔNG HỢP,These ads ran without a disclaimer,12834
1860179160927237,Cao Đẳng Kinh Tế Công Nghiệp Hà Nội - Hiec,These ads ran without a disclaimer,12646
108390095364515,Phạm Văn Thanh- Đặc Trị Xương Khớp,These ads ran without a disclaimer,11246
100302952590176,Tủ Sách Doanh Nhân,These ads ran without a disclaimer,9223
111759838244849,Hết Nợ Con Về,These ads ran without a disclaimer,7433
104727295960051,Gà Mỷ Cựa Dao,These ads ran without a disclaimer,5899
100642569492416,Ng.Thị Thu Thảo,These ads ran without a disclaimer,5716
105845511087981,TRUYỀN HÌNH AN VIÊN,Truyền hình Bchannel - BTV9 An Viên,3740
105062615490802,Thượng Tọa Thích Đức Thiện,Thượng Tọa Thích Đức Thiện,3636
113145355036082,Tổng Kho Sách Miền Bắc,These ads ran without a disclaimer,3390
108685817326606,Truther Piece Official,These ads ran without a disclaimer,1785
100973116331828,Xe tải Hyundai - Mr Hiếu 0936273238,These ads ran without a disclaimer,985
1594005334231968,Daedong Korea Ginseng,These ads ran without a disclaimer,916
109006655588270,Ngôn ngữ Trung Quốc - Đại học Thái Nguyên,These ads ran without a disclaimer,449
117467188007462,Vương Tới Tầm Cao VTB,These ads ran without a disclaimer,212
615040838898606,Angry Birds Dream Blast,These ads ran without a disclaimer,≤100
