Page ID,Page name,Disclaimer,Amount spent (HUF)
109217671008015,A kopasz oszt,Megafon,102351
103946674951254,Kötter Tamás,Megafon,89056
118152054556475,Deák Dániel,Megafon,88219
102414628645144,Korondy Tamás,Megafon,58686
503614639975773,Trombitás Kristóf,Megafon,58379
224274995688487,Bohár Dániel - Riporter,Megafon,54757
543788999005363,ORIGO,Mediaworks Hungary Zrt.,49348
286759004682537,Tranzit,Kommentár Alapítvány,36558
278117815576023,EU Justice and Consumers,EU Justice and Consumers,35147
248172631940,Mandiner,Mediaworks Hungary Zrt.,34682
109503892404998,Világgazdaság,Mediaworks Hungary Zrt.,19752
326635018181862,Magyar Nemzet,Mediaworks Hungary Zrt.,18070
178362315106,European Parliament,European Parliament,17199
169599166463839,Demokratikus Koalíció,Demokratikus Koalíció,16869
191461774219575,hirado.hu,hirado.hu,10684
1534911313439123,Ripost,Ripost,10473
153992771336740,Origo Sport,Mediaworks Hungary Zrt.,8578
329444931109132,Őrsi Gergely,Őrsi Gergely,8072
289633770813,UNICEF Magyarország,UNICEF Magyar Bizottság Alapítvány,8072
123910440019,Renew Europe,Renew Europe Group,8038
131283758531,HVG,HVG Kiadó ZRt.,7309
408924035951553,Körforrás,Körforrás,7149
331580946799,Borsonline - Bors Szórakoztató Napilap,Borsonline - Bors Szórakoztató Napilap,7007
2552532618151148,Újpesti Hírek,Újpesti Hírek,6188
109414841321682,Magyar Falu Program,Miniszterelnökség,5913
106732062235893,Újpesti szemle,Újpesti Szemle,5837
594088897289853,Alapjogokért Központ,Alapjogokért Központ,5062
101646642494867,Kristály,Kristály,4652
1920158678081160,Nemzetpolitikai Államtitkárság,Nemzetpolitikai Államtitkárság,4539
451844608304228,Metropol,Metropol,4484
76748198685,Budapest Pride,Budapest Pride,4433
109528965046103,MCC Feszt,Mathias Corvinus Collegium,4421
113684438795574,Párbeszéd - Zöldek,Párbeszéd Magyarországért,4317
242038689992675,Somody László,Somody László Pestszentlőrinc-Pestszentimre alpolgármestere,3911
105140281027554,Hírnyolc,Hírnyolc,3819
108995848702971,Frankó,Mondjuk a frankót,3730
1944720419101498,Dr. Lévai István Zoltán,Fidesz,3710
1926735160968885,Válasz Online,Válasz Online,3261
307618232709851,Hidvéghi Balázs,Fidesz - Magyar Polgári Szövetség,3218
162344823835042,atlatszo.hu,atlatszo.hu,3109
303640261940,Nemzeti Sport Online,Mediaworks Hungary Zrt.,3077
150219742265121,Bedő Dávid,Bedő Dávid - Momentum,3072
264517713636590,PestiSracok.hu,PestiSrácok.hu,3040
35634348348,Greenpeace Magyarország,Greenpeace Magyarország,2999
1750464258310515,Dukán András Ferenc,Momentum Mozgalom,2993
851784814892644,Simicskó István,KDNP frakció,2933
108248022589754,Bosch Magyarország,Bosch Magyarország,2887
103294948505659,Szánthó Miklós,Szánthó Miklós – Alapjogokért Központ,2876
267168140529488,György László,György László,2853
447204268797621,RTL.hu,RTL.HU,2680
1265353903615539,Oeconomus,Oeconomus,2363
887921287887805,Király Nóra,Király Nóra,2352
345496092135627,Hír TV,Mediaworks Hungary Zrt.,2346
115388925185513,Magyar Szocialista Párt,MSZP,2290
1381558792064873,Niedermüller Péter,Niedermüller Péter,2283
102305235653693,EVIN - Erzsébetvárosi Ingatlangazdálkodási Nonprofit Zrt.,These ads ran without a disclaimer,2214
105967164071611,Nagy Balázs Szemere és Ganztelep,Nagy Balázs Szemere és Ganztelep,2088
265672590604606,Makronóm.Blog,Makronóm.Blog,2026
143151351544,Színházi Olimpia 2023 / Theatre Olympics 2023,Szinházi Olimpia Nonprofit Kft.,1946
100299381703981,Ps TV,PestiSrácok.hu,1896
