Page ID,Page name,Disclaimer,Amount spent (USD)
475402742952519,Nagad,Nagad,≤100
214814651932840,Panjeree Publications Ltd.,Panjeree Publications Ltd.,≤100
266326536843123,BNP Media Cell,BNP Media Cell,≤100
106284182272238,আহবান - Ahoban,আহবান - Ahoban,≤100
275290502504116,PBS (Books+Music+Cafe),PBS Ltd.,≤100
351043178893138,ABC Media Center,ABC Media Center,≤100
122332524209208,যুদ্ধাহত বীর মুক্তিযোদ্ধা উবায়দুল মোকতাদির চৌধুরী এমপি,যুদ্ধাহত বীর মুক্তিযোদ্ধা উবায়দুল মোকতাদির চৌধুরী এমপি,≤100
353130515348425,Bangladesh Nationalist Party-BNP,Bangladesh Nationalist Party-BNP,≤100
195123041072338,নাশকতা - Nashokota,All Marketing Center,≤100
254138648026636,সফল বাংলাদেশ,Effective Lead Gen,≤100
348165495741326,বর্ণিল বগুড়া-Bornil Bogura,Upo Market,≤100
107868542048437,Voice of Bangla,Voice of Bangla,≤100
111572821972166,শেষ বাংলাদেশ-Take Back Bangladesh,শেষ বাংলাদেশ-Take Back Bangladesh,≤100
106308877701439,Sheikh Robiul Islam Azam,Sheikh Robiul Islam Azam,≤100
162107741307973,এই বাংলাদেশ আমাদের,এই বাংলাদেশ আমাদের,≤100
1930781123914291,আবিজা,All Marketing Center,≤100
111768425244624,Voice of the Displaced People,Reality Media US,≤100
2202700299948022,জনতার জয়পুরহাট-Jonotar Joypurhat,Up Top Market,≤100
145950872733471,Unnayan Shamannay - UnSy,Unnayan Shamannay - UnSy,≤100
100612562275472,Razzak Fashion - রাজ্জাক ফ্যাশন,Razzak Fashion - রাজ্জাক ফ্যাশন,≤100
111546325103150,দৃঢ় বন্ধন,Bold Mark Us,≤100
111251941065959,বাংলার সমাচার,Reality Media US,≤100
104106602431215,বইমেলা বিডি.কম,বইমেলা বিডি.কম,≤100
116167389784568,আমার নেত্রী আমার অহংকার,Flix Marketing,≤100
537876413374762,সাম্যের সিরাজগঞ্জ-Shammer Sirajganj,Upo Market,≤100
711232325942076,ইছামতির কথন - Ichamatir Kothon,ইছামতির কথন - Ichamatir Kothon,≤100
184405109132256,দুর্বার টাংগাইল - Unstoppable Tangail,দুর্বার টাংগাইল - Unstoppable Tangail,≤100
2147496625474821,MartSector.com,MartSector.com,≤100
258911791465071,সত্যাপন জামালপুর - Affirmation Jamalpur,সত্যাপন জামালপুর - Affirmation Jamalpur,≤100
