Page ID,Page name,Disclaimer,Amount spent (CRC)
100508562815254,Juan Diego González Picado,Juan Diego González Picado,2724
1564830553770208,Encuentro Municipal,Jose Luis Jimenez Robleto,2294
114217998201885,Carlos Sequeira,SEPROGO,2179
117702158266385,Antonio Álvarez Desanti,Antonio Álvarez Desanti,2179
265843867173714,La Revista,La Revista,2148
118971778191074,Partido Liberación Nacional,Partido Liberación Nacional,1634
264790507544247,Alianza por Sarchí,These ads ran without a disclaimer,757
107981158439405,PLP Atenas,PLP Atenas,283
269896979745792,Programa Estado de la Nación,Programa Estado de la Nación,≤100
108259318940861,TD_Ln2_Cuidado Cariñoso,These ads ran without a disclaimer,≤100
