Page ID,Page name,Disclaimer,Amount spent (IDR)
108132042285089,Erwin Aksa,Yayasan Golkar Institute,8752855
104054595928021,Bakti Untuk Rakyat,Bakti Untuk Rakyat,3606221
101350709331663,Golkar 2024,Yayasan Golkar Institut SPKP,986871
333711983956998,Erwin Aksa,Yayasan Golkar Institute SPKP,830282
320858334728047,Partai Solidaritas Indonesia,Partai Solidaritas Indonesia,580245
1004727719661767,Rian Ernest,Yayasan Golkar Institute,501114
106894958316644,Relawan sintawati,Relawan sintawati,323883
111864151754055,Esensi TV,Esensi Tv,274095
197545083607941,Harian Kompas,Harian Kompas,209370
102060486500863,The Jakarta Post,PT. Bina Media Tenggara,196957
106918395489616,Golkar Institute SPKP,Yayasan Golkar Institut SPKP,162994
104830667806476,Melihat Indonesia,Melihat Indonesia,128443
104899195891472,Berita Ganjar Pranowo,Berita Ganjar Pranowo,109363
102656349157647,Tugimanisme,Tugimanisme,98701
112121101796090,Opini 2024,Opini 2024,94114
329230813824422,Slamet Sukardi,Slamet Sukardi,86821
349963858704476,Komit Digital,Komit Digital,74576
104161768809633,Dompet Yatim Dan Dhuafa,Dompet Yatim Dan Dhuafa,65163
106690092440342,Pemilu KIT,PEMILU KIT,60426
104920542152835,Caleg Pilihan Kita,Caleg Pilihan Kita,54778
118310007922514,Jakarta Untuk Ganjar,Ganjar Nusantara Indonesia,49815
258766034712136,Sabam Rajagukguk,Indonesia Adil & Makmur,47486
100159712647702,Fakta Anies Baswedan,Fakta Anies Baswedan,47389
110195418669687,Sahabat Yatim,Yayasan Sahabat Yatim Indonesia,41487
103301445622409,Aksi Tanggap Anies,Aksi Tanggap Anies,40848
572779142753263,Freeport Indonesia,Freeport Indonesia,35881
39253583478,PDI Perjuangan,PDI Perjuangan,35279
23383061178,Prabowo Subianto,indonesia Adil makmur,35174
108511588277325,Galeria Konveksi,Galeria Konveksi,33651
109766735244855,Belmondo Scorpio,Belmondo Scorpio,27685
101804639078770,Unboxing Anies,Unboxing Anies,26021
100710792819518,Hafiz alatas,These ads ran without a disclaimer,25974
100658186400285,Lanjutkan Perjuangan CH,Lanjutkan Perjuangan CH,25814
103082279459946,Farouk Abdullah Alwyni Page,Farouk Abdullah Alwyni Page,24814
110865154735990,Koran Harian Tanah Air,Koran Harian Tanah Air,22507
102273039070802,Info Terkini,Info Terkini,21937
164909433966316,Suara Anies,Suara Anies,18144
1010056845691495,PrimaGraphia,These ads ran without a disclaimer,17512
