Page ID,Page name,Disclaimer,Amount spent (PLN)
122074554119,EU Social,EU Social,274
237466786344157,European Movement,European Movement International with Facebook ad credits,196
102931488739,Platforma Obywatelska,Platforma Obywatelska,177
157458232131,Prawo i Sprawiedliwość,Prawo i Sprawiedliwość,162
145329992215815,Piotr Król,Piotr Król,148
256314858405394,Paweł Olszewski,Paweł Olszewski,136
308684629246305,Tomasz Latos,Tomasz Latos,134
603295086483883,Łukasz Schreiber - Poseł na Sejm RP,Łukasz Schreiber - Poseł na Sejm RP,104
178362315106,European Parliament,European Parliament,≤100
104884392877324,Alivia,Alivia - Fundacja Onkologiczna,≤100
57544755889,Amnesty International Polska,Amnesty International Polska,≤100
109269485083516,Krzysztof Szczucki,Krzysztof Szczucki,≤100
178415208919146,Suwerenna Polska,Solidarna Polska,≤100
63563473556,Gazeta Wyborcza,Gazeta Wyborcza,≤100
111465470197991,Mateusz Morawiecki,Mateusz Morawiecki,≤100
237466786344157,European Movement,European Movement International,≤100
199446073725474,BohaterON,Fundacja Sensoria,≤100
469702339755768,Paweł Tanajno Polska Liberalna Strajk Przedsiębiorców,Paweł Tanajno Polska Liberalna Strajk Przedsiębiorców,≤100
2152238558396822,Mariusz Kałużny,Mariusz Kałużny,≤100
228168274881,wysokieobcasy,wysokieobcasy,≤100
230415296997772,bydgoszcz.pl,bydgoszcz.pl,≤100
1884681241647994,Anna Gembicka,Biuro Poselskie Posła Na Sejm RP Anny Gembickiej,≤100
105636040979969,Polska 2050,Polska 2050 Szymona Hołowni,≤100
107099115544539,Zostań Dłużej,Euvic Media,≤100
268366156599556,Krzysztof Gawkowski,Krzysztof Gawkowski,≤100
107590839282206,BNP Paribas Bank Polska,BNP Paribas Bank Polska S.A.,≤100
339855706171439,Dobra Fabryka,Dobra Fabryka,≤100
513969188677442,Compassion Polska,Compassion Polska,≤100
1646168595688590,Kujawsko-Pomorski Urząd Wojewódzki w Bydgoszczy,Kujawsko-Pomorski Urząd Wojewódzki w Bydgoszczy,≤100
102570981927805,Robert Kufel - Radny Miasta Bydgoszczy,Robert Kufel - Radny Miasta Bydgoszczy,≤100
1581518611867021,Zbigniew Ziobro,Zbigniew Ziobro,≤100
101861849611988,Nie dla Tuska,Nie dla Tuska,≤100
105849852557018,Centrum Analiz Wyborczych,Akademia Jagiellońska w Toruniu,≤100
104581499325617,Wybory bez picu,Obywatelska Kontrola Wyborów,≤100
202473923251760,Wojewódzki Fundusz Ochrony Środowiska i Gospodarki Wodnej w Gdańsku,Wojewódzki Fundusz Ochrony Środowiska i Gospodarki Wodnej w Gdańsku,≤100
100758976350452,LubBezpośrednio.PL - Instytut Demokracji Bezpośredniej,"Fundacja ""Potrafisz Polsko""",≤100
520444618035778,Grupa EPL w Parlamencie Europejskim,EPP Group in the European Parliament,≤100
335107452998,"InPost - Paczkomat, Kurier","InPost - Paczkomat, Kurier",≤100
475584852475176,Pozytron,POZYTRON Radiologia Medyczna,≤100
