Page ID,Page name,Disclaimer,Amount spent (EUR)
416284611754529,Orhei azi,Orhei azi,≤100
1615739698690060,Gagauz i ya,Gagauz i ya,≤100
112352651471410,Morari.live,Morari.live,≤100
1951389954961283,PAS Nisporeni,Partidul Politic Acțiune și Solidaritate,≤100
106535802709949,Vlad Filat,Vlad Filat,≤100
103784048493772,Partidul Dezvoltării și Consolidării Moldovei,PDCM,≤100
160625514692148,StopFals.md,StopFals.md,≤100
501101859918156,Primăria Municipiului Chișinău,Primăria Municipiului Chișinău,≤100
119955864353882,toți pentru Moldova / все за Молдову,toți pentru Moldova / все за Молдову,≤100
1805726386405532,WatchDog.MD,WatchDog.MD,≤100
319803971471711,Guvernul Republicii Moldova,Cancelaria de Stat,≤100
101786405377420,maib business,maib,≤100
1827162984186887,Вячеслав Платон: за свободную Молдову.,Вячеслав Платон: за свободную Молдову.,≤100
165158373553979,UNDP Moldova,PNUD Moldova,≤100
1641823949368794,Partidul Național Moldovenesc,Partidul National Moldovenesc,≤100
1697149123885498,Noi.md / Interviuri și analitica,NOI.md,≤100
183586548468420,Dorin Recean,Dorin Recean,≤100
597470323744357,Primăria Mea,Primăria Mea,≤100
739189706285160,De facto: Ne apărăm de propagandă,De facto: Ne apărăm de propagandă,≤100
223647077681853,Asociatia Presei Independente,API,≤100
348313861992116,UN Women Moldova,SerAd Plus SRL,≤100
1576461685747410,defacto.md,defacto.md,≤100
102120172713015,Opriți gruparea Hoție și Război,Opriți gruparea Hoție și Război,≤100
165158373553979,UNDP Moldova,UNDP Moldova,≤100
101842212936338,Ruttor,These ads ran without a disclaimer,≤100
