Page ID,Page name,Disclaimer,Amount spent (MXN)
608771779295909,Estamos Unidos. Que siga López,Estamos Unidos. Que siga López,10649
107793448707132,The Guardian Mexico,The Guardian Mexico,5646
116039188209698,Presidenta 2024 Mx,Presidenta 2024 Mx,4521
215155355246903,Francisco Cabeza De Vaca,Francisco Cabeza De Vaca,3326
242334769225146,Sergio Salomón Céspedes Peregrina,Sergio Salomón Céspedes Peregrina,2918
378957422257023,Bealieversmx,Bealieversmx,2545
120145884414301,MX Al Día,Mx Al Día,2365
124073640618476,Julio Huerta,Julio Huerta,2276
264773293005,Marko Cortés,Partido Acción Nacional,1991
108819392526809,Partido Acción Nacional,Partido Acción Nacional,1759
103182562158410,Ignacio Mier Velazco,Ignacio Mier Velazco,1668
116013104730058,México en el Mundo.,México en el Mundo.,1391
102265631123832,Gobierno de Puebla,Gobierno de Puebla,1388
148649368616330,Pepe Chedraui,Pepe Chedraui,1237
308102266010810,Nadia Navarro,Nadia Navarro,1075
1520610478183053,Badabun,Badabun,936
206323119403212,Mario Delgado Carrillo,Mario Delgado Carrillo,876
101851635734438,Puebla Ciudad,Puebla Ciudad,847
104886002695252,Puebla con Creel,Puebla con Creel,778
100295093160684,Xochitlovers Poblanos,Xochilovers Poblanos,752
113127738483373,Jóvenes por la democracia,Big Thinker Agency,737
107802729048578,El Destapador,El Destapador,701
156639921819,Gii360,Gii360,620
56713285274,Greenpeace México,Greenpeace México,606
105330142544071,Amigos de Adán Augusto,Los Amigos de Adan Augusto,598
120923597592109,Hoy Sí Mx,Consejo de la Comunicación,569
380359428810682,Mexicanos Traidores,Mexicanos Traidores,502
110401602060833,Noticias 32,Noticias32,489
116628764816839,Punto Morena,Punto Morena,454
112430254900123,Tendencia MX,Octagono Creativo,402
103959544551197,Dermoter - Capacitación en Medicina Estética y Antiedad,Dermoter - Capacitación en Medicina Estética y Antiedad,402
103765739476671,Alza La Voz Política,Alza La Voz Política,396
611053902572622,Focus Mx,Focus Mx,378
936003293273572,Nexo Político,Nexo Político,376
101267031439463,Voz de las Empresas,Consejo de la Comunicación,359
115754618257305,Mx Al Instante,Mx Al Día,345
323319651067985,Monitor Nacional,Monitor Nacional,324
113388858396961,Prensa Libre Puebla,Prensa Libre Puebla,317
102991431463559,Exilio Periodismo Binacional,Exilio Periodismo Binacional,311
114182624983282,Nueva Prensa Puebla,Nueva Prensa Puebla,306
449018802149520,Teziutlán al Día,Teziutlán al Día,306
109634395756375,Save the Children México,Save the Children México,287
1877472009244098,Chiautla Informa,Chiautla Informa,283
354326078079338,Campaigns and Elections Mexico,Campaigns & Elections México,265
2189022457815479,Cholula Informa,Cholula Informa,253
1415863341806268,DMC - Music Center,CENTRO DE ENCUENTRO ARTÍSTICO DMC A.C.,244
112524454757434,MX Informa,Mx Al Día,230
195400400486017,Antena San Luis,Antena San Luis S de RL de CV,229
118902417840531,La Voz de la Calle Puebla,La Voz de la Calle,227
923633637651202,Morena Sí,Morena Sí,216
114249423327281,Los Reporteros MX,Los Reporteros MX,213
104680124489636,Demoscopia Digital,Demoscopia Digital,212
102724752608138,Mexiquenses Unidos con Adán,Mexiquenses Unidos con Adán,205
1547184221992690,Tehuacán Informativo,Tehuacán Informativo,194
105393761496211,Por una Puebla Sin Censura,Por una Puebla Sin Censura,193
174058432636166,El Deforma,El Deforma,185
116847481435861,Bdr6,These ads ran without a disclaimer,184
149012365179945,Pelon Pelo Rico,These ads ran without a disclaimer,173
116175691755266,Silvano Aureoles Conejo,Silvano Aureoles Conejo,166
122404620204,Oxfam México,OXFAM MEXICO AC,165
254852601222832,Cemex México,CEMEX México,162
430130797730805,Sin Línea Mx,Sin Línea MX,154
106552262481156,Pelotera Política,Pelotera Política,154
116683221399058,En la mira Puebla,En La Mira Puebla,153
239726076054918,Partido del Trabajo México,Partido del Trabajo México,134
790122277825560,Sentido Común,Sentido Común Medios,127
248188822373873,Claudia Rivera Vivanco,Claudia Rivera Vivanco,125
503029186533760,Osoigo México,Osoigo México,125
119244891187006,ITEM - Puebla,ITEM,123
48966795116,Amnistía Internacional México,Amnistía Internacional México,122
133478060111915,Cemex Impacto Social,CEMEX México,116
493453457351145,Coparmex Nacional,Coparmex Nacional,111
561934300901737,H. Ayuntamiento de Tepeaca,H. Ayuntamiento de Tepeaca,101
104885305921535,Puebla Al Día Oficial,Puebla al Día Oficial,≤100
102107279495045,Las netas,LASNETAS.ORG,≤100
1436546763266753,Dany Solís,Dany Solís,≤100
108691922194941,Convocatorias 2023B,Convocatorias 2023,≤100
112245067227623,Alcance Diario,Alcance Diario,≤100
112418093457017,Tendencia MX,Tendencia MX,≤100
100794729777667,La otra Cara de México,La Otra Cara de México,≤100
449578082077519,Huauchi Noticias,Huauchi Noticias,≤100
534777453303341,Roberto Solís,Roberto Solís,≤100
177515892891362,José Iván  Herrera Villagómez,José Iván  Herrera Villagómez,≤100
156432671706750,Te AMLO,Te AMLO,≤100
101396955397342,Mi apoyo a la 4T,Mi apoyo a la 4T,≤100
106028511598307,Mujeres Morena,Mujeres Morena,≤100
929865914025290,Yo Observador,Yo Observador,≤100
127740114598004,El orgullo de Morena,El orgullo de Morena,≤100
524272988105175,La Prensa Verificada,La Prensa Verificada,≤100
102995568595429,Defendamos La Esperanza,Defendamos La Esperanza,≤100
268185906992829,Acatzingo al Despertar,Acatzingo al Despertar,≤100
105126410860106,Capacitación Superior,These ads ran without a disclaimer,≤100
112193307898373,Electoralia Veracruz,Electoralia Veracruz,≤100
289568107808375,UVEG Universidad Virtual del Estado de Guanajuato,Ads Project Media,≤100
1109723182514993,Gobierno Municipal San Martín Texmelucan,Gobierno Municipal San Martín Texmelucan,≤100
110766427433130,Cambio de Rumbo,Cambio de Rumbo,≤100
803041666459797,Enrique de la Madrid,Enrique de la Madrid,≤100
159530538040314,Paty Valencia,Paty Valencia,≤100
213693228664478,Cámara de Diputados - H. Congreso de la Unión,Camara de Diputados - H. congreso de la unión,≤100
182497359177082,Encuadre Noticias,Encuadre Noticias,≤100
108997325555128,México Actúa,México Actúa,≤100
102571299059219,Centro de Desarrollo y Actualización de Competencias,Centro de Desarrollo y Actualización de Competencias,≤100
233462580874475,Gaceta News México,Gaceta News México,≤100
395815604512738,Gobierno de San Nicolás de los Ranchos,"H. Ayuntamiento de San Nicolás de los Ranchos, Puebla.",≤100
101128435630238,Química y Formulación,Química y Formulación,≤100
362430908370,Aeromexico,Aeromexico,≤100
110480358797556,Defendiendo México,Defendiendo México,≤100
159997884087725,Jorge Luis Preciado,Jorge Luis Preciado,≤100
109926551951416,UNNA_Infancia,UNNA_Infancia,≤100
109299911597187,CNC Guanajuato,CNC Guanajuato,≤100
1985095215139869,Alejandro Carvajal,Alejandro Carvajal,≤100
182252948625872,Los Rescatadores,"Refleacciona con Responsabilidad, A.C.",≤100
924215500923867,Lucy Meza,Lucy Meza,≤100
1527311874184683,Ismael Cabeza de Vaca,Ismael Cabeza de Vaca,≤100
1899803496995308,Morena La Libertad.,Morena La Libertad.,≤100
814262205633579,Poder ciudadano MX,Poder ciudadano MX,≤100
171435049569865,Victor Hugo Romo de Vivar,Victor Hugo Romo de Vivar,≤100
