Page ID,Page name,Disclaimer,Amount spent (IDR)
101350709331663,Golkar 2024,Yayasan Golkar Institut SPKP,10371
104054595928021,Bakti Untuk Rakyat,Bakti Untuk Rakyat,5915
333711983956998,Erwin Aksa,Yayasan Golkar Institute SPKP,2313
111864151754055,Esensi TV,Esensi Tv,670
106918395489616,Golkar Institute SPKP,Yayasan Golkar Institut SPKP,563
100159712647702,Fakta Anies Baswedan,Fakta Anies Baswedan,504
320858334728047,Partai Solidaritas Indonesia,Partai Solidaritas Indonesia,355
23383061178,Prabowo Subianto,indonesia Adil makmur,317
103301445622409,Aksi Tanggap Anies,Aksi Tanggap Anies,229
101203454841155,Kota Kite,Kota Kite,144
349963858704476,Komit Digital,Komit Digital,135
101804639078770,Unboxing Anies,Unboxing Anies,115
110195418669687,Sahabat Yatim,Yayasan Sahabat Yatim Indonesia,114
107600565668590,Munafri Arifuddin,Yayasan Golkar Institute,109
197545083607941,Harian Kompas,Harian Kompas,109
164909433966316,Suara Anies,Suara Anies,≤100
113275080589935,Promil For Mom,These ads ran without a disclaimer,≤100
178454335508598,Kertabumi Jogjakarta Store,These ads ran without a disclaimer,≤100
101760624522103,DPP Banteng Muda Indonesia,DPP Banteng Muda Indonesia,≤100
110799152010497,Prabowo Lanjutkan Kepemimpinan,Prabowo Lanjutkan Kepemimpinan,≤100
101866128977837,Belajar Pemilu,Belajar Pemilu,≤100
101679818973699,Sahabat Ganjar Pranowo,Sahabat Ganjar Pranowo,≤100
108132042285089,Erwin Aksa,Yayasan Golkar Institute,≤100
122874340743006,Jasa Ucapan Video,Jasa Ucapan Video,≤100
102735702350673,Publikberhaktau,Publikberhaktau,≤100
1620632751542044,Isyana Bagoes Oka,Partai Solidaritas Indonesia,≤100
100710792819518,Hafiz alatas,These ads ran without a disclaimer,≤100
572779142753263,Freeport Indonesia,Freeport Indonesia,≤100
108087558837514,Cheryl Tanzil,Partai Solidaritas Indonesia,≤100
112931408360736,Safer Internet Lab,Safer Internet Lab,≤100
101897132786498,Jimmy Simanjuntak Foundation,These ads ran without a disclaimer,≤100
790156511331117,Tempo CekFakta,TEMPO MEDIA GROUP,≤100
292939164731691,Relawan Herviano,Relawan Herviano,≤100
101228692503239,Opini Publik,Opini Publik,≤100
104920542152835,Caleg Pilihan Kita,Caleg Pilihan Kita,≤100
306213619526427,Jusuf Kalla Fans Club,Jusuf Kalla Fans Club,≤100
101670979099537,OverheardKonoha,OverheardKonoha,≤100
108181075027260,CSI Consultant,These ads ran without a disclaimer,≤100
106690092440342,Pemilu KIT,PEMILU KIT,≤100
1885017341733339,Relawan Anies,Relawan Anies,≤100
678421075696415,Giring Ganesha,Partai Solidaritas Indonesia,≤100
106919112303644,Jasa Pembuatan Video,Jasa Pembuatan Video,≤100
106084645486065,Cakradata Indonesia,Cakradata,≤100
756567881057213,Airlangga Hartarto,Airlangga Hartarto,≤100
256838011014355,Partai Gerakan Indonesia Raya (Gerindra),Partai Gerindra,≤100
110918995143687,M Huda,These ads ran without a disclaimer,≤100
109455838815878,Moveprenuere,Moveprenuere,≤100
104427162506872,Fakta Anies,Fakta Anies,≤100
116655871310377,Solusi Pernafasan Vitasma,These ads ran without a disclaimer,≤100
