Page ID,Page name,Disclaimer,Amount spent (LBP)
394633411339696,fiftyfiftylb,FiftyFiftylb,69331
1438703606372190,Elham Said Freiha,Elham Said Freiha,65281
105319651353770,Jusur,Jusur,30075
102023711572671,أساس ميديا -  Asas Media,Asas Media,30075
106197498149118,لبنان الكبير,Grand Lebanon,20010
110913872086671,مباراة الجاهلية الكبرى السبت ٥ آب ٢٠٢٣,These ads ran without a disclaimer,15038
110470091436602,Ici Beyrouth,Ici beyrouth,15038
316674545036384,SKeyes Center for Media and Cultural Freedom,SK_Eyes,15038
212513695502997,Annahar Newspaper | جريدة النهار,Annahar Newspaper | جريدة النهار,15038
1744356319118477,هنا لبنان,هنا لبنان,15038
1918990294985442,Megaphone - ميغافون,Megaphone - ميغافون,15038
112056958469490,SPI Lebanon,SPI Lebanon,15038
1108768849269022,B. CHEZ MOON,Asasate Development,12632
327943840921884,ONDES,ONDES,4812
1717497868504337,Truth and Moments,These ads ran without a disclaimer,≤100
2319249898311729,National Bloc - الكتلة الوطنيّة,National Bloc - الكتلة الوطنيّة,≤100
115809828234129,إعلامي تحرير سوريا,These ads ran without a disclaimer,≤100
164267520267912,LebanonFiles.com (Live News From Lebanon),LebanonFiles.com (Live News From Lebanon),≤100
344500588997099,Ezzaldeen Photography,Ezzaldeen Photography,≤100
150253531687373,أخبار الآن - Akhbar Al Aan,These ads ran without a disclaimer,≤100
1502687013388650,Media Factory News,Media Factory News,≤100
236505100490400,Follow,These ads ran without a disclaimer,≤100
107698404702208,Alkalima,Alkalima Onlime,≤100
834890283550973,Tarek Daoud طارق الداوود,Tarek Daoud طارق الداوود,≤100
116157328113022,Hide Park,Friedrich-Ebert-Stiftung Lebanon Office,≤100
322181790311,Lebanese Forces News,Lebanese Information Technology Services s.a.r.l,≤100
278035695547539,Legal Agenda  المفكرة القانونية,legal Agenda,≤100
106522072171641,Semicolon Academy,These ads ran without a disclaimer,≤100
