Page ID,Page name,Disclaimer,Amount spent (JPY)
453490164841567,TCB - 東京中央美容外科,These ads ran without a disclaimer,3882
1480924162121487,復職・就職専門機関 リワークセンター,株式会社Rodina,2872
102340592602653,N channel33,These ads ran without a disclaimer,2827
103307385856246,美容Lab,These ads ran without a disclaimer,2550
265075920177069,陸上自衛隊 Japan Ground Self-Defense Force,陸上自衛隊 Japan Ground Self-Defense Force,2405
110284292010391,オリックス・クレジット株式会社,These ads ran without a disclaimer,1641
115906938107278,森山さとる,森山さとる後援会,1483
1904070096535109,スマート選挙,株式会社センキョ,1278
450923665041182,めちゃコミック（めちゃコミ）,These ads ran without a disclaimer,1221
217940438230517,BOOKWALKER,These ads ran without a disclaimer,1021
413847335481057,起業の学校 Willfu 社会人講座,These ads ran without a disclaimer,904
108136530968730,おねがい社長！,These ads ran without a disclaimer,711
110058508784307,ライズ・アップ・ジャパン,株式会社経営科学出版,678
108651618963748,Fyyoiu.xyz-3,These ads ran without a disclaimer,569
486499008189961,Inspire（インスパイア）：地方創生イノベータープラットフォーム,一般社団法人INSPIRE,537
101670529300997,未来甲賀市2023 若者政策アイデアコンテスト,NPO法人ドットジェイピー,410
208661552479830,日本財団,日本財団,333
475681929154100,国連UNHCR協会,国連UNHCR協会,306
298060150283457,大分県日出町,大分県日出町,291
633030123480159,グッドライフアワード,グッドライフアワード事務局,278
111950941724112,Yokota Hiromi,These ads ran without a disclaimer,169
122798281117740,FRED,These ads ran without a disclaimer,157
744356362359853,えひめ移住コンシェルジュ,These ads ran without a disclaimer,146
148562291987208,ザ・ホワイトデンタルクリニック,These ads ran without a disclaimer,140
501174560264857,VENTURE FOR JAPAN,These ads ran without a disclaimer,129
494788643877212,NEC （日本電気株式会社）,These ads ran without a disclaimer,102
301475626888702,サンスター オンラインショップ,These ads ran without a disclaimer,≤100
1812425055659979,介護ワーカー,These ads ran without a disclaimer,≤100
202026293187145,鯖江市地域活性化プランコンテスト,特定非営利活動法人エル・コミュニティ,≤100
196303913732193,タマホーム株式会社,These ads ran without a disclaimer,≤100
104533215755145,ZOE_Japan,ZOE Japan,≤100
101289366621166,大和ハウスグループ,These ads ran without a disclaimer,≤100
173291492700083,Ｚ会,These ads ran without a disclaimer,≤100
102891618059843,ケイミュー株式会社,These ads ran without a disclaimer,≤100
348665338910204,少年ジャンプ＋,These ads ran without a disclaimer,≤100
100199881840737,Minghui Japan（ミンフイ　ジャパン）ー明慧日本,明慧日本,≤100
676655469036670,松下政経塾,松下政経塾,≤100
101487848880256,とらがーるのカフェ・グルメ,These ads ran without a disclaimer,≤100
100400541822203,,奈良市議会議員 太田晃司（おおた こうじ）,≤100
181514441886140,Riedel Japan (リーデル・ジャパン),These ads ran without a disclaimer,≤100
785103978248653,ボクシル/Boxil,These ads ran without a disclaimer,≤100
1066698066689496,ミイダス,These ads ran without a disclaimer,≤100
110188688555336,Snsを頑張らない集客法,These ads ran without a disclaimer,≤100
101037439554864,Aga速報ニュース,These ads ran without a disclaimer,≤100
256504371891671,the-issues.jp,the-issues.jp,≤100
102755102920585,,These ads ran without a disclaimer,≤100
