Page ID,Page name,Disclaimer,Amount spent (PHP)
75665129515,Go Negosyo,Go Negosyo,8995
109334491347461,Cara Amazing Story,Cara Amazing Story,4180
547821942058909,Pilipinas Today,WFPH,3766
103215701288140,Random News Media,NM,3202
1303847879710886,Philippine Star Blog,NM,2716
1958754127730229,Balita Ngaun,Balita Ngaun,2141
212808672071102,MWSS Regulatory Office,MWSS Regulatory Office,1882
438848109829671,Juan Dela Cruz,Juan Dela Cruz,1643
101885961492021,Kuya Bong Go,Kuya Bong Go,1363
265779500134955,SM Supermalls,SM Supermalls,1315
100170811672425,Pilipinas Today Kyusi,WFPH,1303
1968320283460297,Filipino News Feed,Filipino News Feed,1173
223618785182273,Pilipinas,WFPH,1072
100350202335117,Benhur Abalos,Supporters and Friends of Benhur Abalos,947
145265112840190,Kasama Ka Sa Pag-Unlad,Polsure,878
109322002065194,EKIS,EKIS,813
1647474828693396,Bong Go,Bong Go,801
110831933689418,Alamat Ni Pedro,News Manila,737
388689438381348,Mike Defensor,The Mike Defensor Organization,710
103485942191411,Juan Bulletin,Polsure,604
102532175283826,OK si Odie Tarriela,Ok Si Odie Tarriela,563
546388532235263,Duterte Youth Party-list,Duterte Youth Party-list,498
100155158432600,The Health Center PH,The Best Healthctr Hub Ph,489
122799741066892,National Youth Commission,National Youth Commission,454
263066651005055,"Ramon Bong Revilla, Jr.","Ramon Bong Revilla, Jr.",420
1332938170076882,Tatak QC,Polsure,390
247331620535579,Mike Defensor,The Mike Defensor Organization,369
197727873578501,Senator Migz Zubiri,Senator Migz Zubiri,357
1779870368752390,May JOY sa QC,Polsure,295
1566478310240623,Francis Tolentino,Francis Tolentino PH,294
629488444347803,Mayor Allan De Leon,Mayor Allan De Leon,273
166107624078770,Camanava News,Camanava News,254
269175894020945,Pilipinas Today,WFPH,249
115769773456162,Political Circus of the Philippines,PBJ Mediaworks,240
105604828846674,Rose Lin,Friends of Rose Lin,232
110906614080083,Ang Realidad PH,Clutchmedia,213
495629064258114,Lolita Karen Javier,Lolita Karen Javier,205
1512452085732585,Stratbase ADR Institute,Stratbase ADR Institute,205
325780477966356,Geo 24/7,Energy Development Corporation,187
494887807297979,Cocolife,Cocolife,185
1528902407332883,Konrad-Adenauer-Stiftung Philippines Office,Konrad-Adenauer-Stiftung Philippines,173
701517253228758,DOSTv,DOSTv,162
231715557511650,Solo Parents,Polsure,154
167815253908956,I Heart Malabon,I Heart Malabon,150
135785939801940,Auto Boutique Ph,These ads ran without a disclaimer,142
315452865504416,ChildFund Philippines,ChildFund Philippines,142
107701168822758,Aksyon TV,Aksyon TV,124
100305568984268,EdukNaman,Philippine Business for Education Inc.,123
102327208446392,FACTS,FACTS,119
146548045414743,John J. Carroll Institute on Church and Social Issues,John J. Carroll Institute on Church and Social Issues,114
100770729339080,Cong. Wilbert T. Lee,Cong. Wilbert T. Lee,112
103548215475630,Aniela Tolentino,Archinet International Inc.,111
119542817824446,,Hàbi Philippines,111
150330215080785,The Honors Tutorial Center,These ads ran without a disclaimer,110
101911131623327,Atorni Mike,Atorni Mike,108
1019139998271114,Pasabog Ni Juan Malabonian,Pasabog Ni Juan Malabonian,105
113192036820162,Prof. Soc Anthony del Rosario,We Care Incorporated,101
101292275353483,Philippine Daily Inquirer,These ads ran without a disclaimer,≤100
111324628476603,REact PH: Choose Renewables,REact PH: Choose Renewables,≤100
351879361521039,Cong. Nonoy Libanan,Cong. Nonoy Libanan,≤100
102820774791720,Congressman Marvin Rillo,Congressman Marvin Rillo,≤100
48688071399,Greenpeace Philippines,Greenpeace Philippines,≤100
254225618540932,Love ng QC si Teacher,Polsure,≤100
102149044584904,Iparush kay Paras,Iparush kay Paras,≤100
118263363420286,Pilipinas Today Ilocos,WFPH,≤100
1030706640379655,Pilipinas: Coal Free by 2030,Coal Free Philippines,≤100
389309271851098,Pinoy Builders,"PurpleBug, Inc.",≤100
332536503771530,Vice Governor Karen Agapay,Vice Governor Karen Agapay,≤100
914556591894195,CitizenWatch Philippines,CitizenWatch Philippines,≤100
2147575852160385,Congresswoman Ann Matibag,Congresswoman Ann Matibag,≤100
374004705980904,Philippine Business for Education,Philippine Business for Education,≤100
110177965447653,,These ads ran without a disclaimer,≤100
113821638263564,The Best Channel,The Best Channel,≤100
105929115643626,Caroline Tanchay,Caroline Tanchay,≤100
104988244674974,Mobility Awards,The Climate Reality Project Philippines,≤100
104291395914077,Nuclear Supporters PH,Nuclear Supporters PH,≤100
102886345339673,Ben Patron,Ben Patron,≤100
146273324229976,Dreame love story 07,These ads ran without a disclaimer,≤100
278940185804530,Eugrace Accounting Services,These ads ran without a disclaimer,≤100
956992934491805,Jaye Lacson-Noel,Jaye Lacson-Noel,≤100
1422776171276031,Miko Villena,Miko Villena,≤100
104736895310671,Danny A. Domingo,Capino Advocates for Digital Media Consultancy,≤100
319488142121,Jinggoy Estrada,Anak Ng Masa,≤100
107463358538636,planetGOLD Philippines,planetGOLD Philippines,≤100
1380167115635985,LEDS Clothing,LEDS Clothing,≤100
1922749344643532,The World Tonight,The World Tonight,≤100
222187917795664,Social Watch Philippines,Social Watch Philippines,≤100
111306668450913,Nickie Boy's Discoveries,Nickie Boy's Discoveries,≤100
101520066053972,RepublicAsia,"RepublicAsia Media, Inc.",≤100
46361808553,Kaya Natin! Movement for Good Governance and Ethical Leadership,Kaya Natin! Movement,≤100
480552092150213,Malayang Quezon City,Message Doctor PH Company,≤100
100524842436526,Malayang Pilipinas,The Message Booster Corp.,≤100
100926522848043,Kuya Oweng Eagles Merchandise,These ads ran without a disclaimer,≤100
235030693233048,Isko Moreno Domagoso,These ads ran without a disclaimer,≤100
774149009339209,The Climate Reality Project Philippines,The Climate Reality Project Philippines,≤100
407604493105131,"PBA: Politika, Basketbol, at Artista","PBA: Politika, Basketbol, at Artista",≤100
476553329103668,Alex Advincula,Alex Advincula,≤100
522302631184659,Philippine Business for Environmental Stewardship,Philippine Business for Environmental Stewardship,≤100
100325025560868,Hypothesis Philippines,Hypothesis Philippines,≤100
111364815334817,Makabagong Parañaque News,Makabagong Parañaque News,≤100
102907729290658,Pilipinas Kong Mahal,Message Doctor PH Company,≤100
100438001850801,"CEAP Retirement Fund, Inc.","CEAP Retirement Fund, Inc.",≤100
1669303526443380,Trendsuertres Customized Promotional Items Baller Wrist Band Keychains etc.,Trendsuertres Customized Promotional Items Baller Wrist Band Keychains etc.,≤100
1553973434658376,Filipino Community,Filipino Community,≤100
197171390303624,Arlene B. Arcillas,Arlene B. Arcillas,≤100
352659278684227,MP Marjanie S. Mimbantas Macasalong,MP Marjanie S. Mimbantas Macasalong,≤100
